iteration: 0 generation: def newfun(image): return image.score(['a beam in the water', 'a vertical pipe', 'a black-and-white striped body', 'a rounded or tapered end', 'white spots on the fins', 'a whistle'])
iteration: 1 generation: def newfun(image): return image.score(['a net or mesh material', 'may have buttons or snaps', 'a variety of hand tools or equipment', 'a group of fish swimming together', 'extendables', 'an underwater scene'])
iteration: 2 generation: def newfun(image): return image.score(['a shark', 'land that is regularly underwater', 'choppy, foamy water', 'buoyancy control device', 'an escape from a wild animal', 'compound eyes'])
iteration: 3 generation: def newfun(image): return image.score(['suitable for swimming and other water activities', 'a turquoise and orange logo', 'a man smile', 'a long-handled strainer', 'coral or sea anemones', ' rough waves'])
iteration: 4 generation: def newfun(image): return image.score(['a textured surface with Spanish moss', 'a beep sound when power is activated', 'an area with alternating black and white squares', 'a clownfish with three white stripes', 'snow skis or a snowboard', 'a yellow smiley face'])
iteration: 5 generation: def newfun(image): return image.score(['a scuba diver with an oxygen tank or a snorkeler with a snorkel', 'a sea turtle', 'ripples in the sand', 'a rocking motion', 'a harness or straps', 'a bath or shower'])
iteration: 6 generation: def newfun(image): return image.score(['a minnow', 'a small fish', 'a yellow tang', 'a way to explain something unexpected', 'the sea god (Neptune)', 'a coral reef'])
iteration: 7 generation: def newfun(image): return image.score(['looking up at a diver or swimmer from below the waterline', 'a snorkeler or scuba diver with a mask, snorkel, and tank', 'white, shredded accents of waves and foam surrounding a dock or beach', 'alligator or crocodile', 'brightly colored, sharp spines or fins', 'water skis'])
iteration: 8 generation: def newfun(image): return image.score(['a shark', 'land that is regularly underwater', 'choppy, foamy water', 'buoyancy control device', 'an escape from a wild animal', 'compound eyes'])
iteration: 9 generation: def newfun(image): return image.score(['a large metal ring or cable', 'found in the ocean', 'soldiers or police often wear them', 'a rampart or wall', 'a small island or rock in the ocean', 'long, thin legs'])
iteration: 10 generation: def newfun(image): return image.score(['a beam in the water', 'a vertical pipe', 'a black-and-white striped body', 'a rounded or tapered end', 'white spots on the fins', 'a whistle'])
iteration: 11 generation: def newfun(image): return image.score(['a lattice or net-like structure', 'a horse or other equine', 'a shark or other cartilaginous fish', 'a billiard or pool table', 'a garden feature such as a pond or water fountain', 'a patriotic symbol such as a flag or statue'])
